Analyze,Channel Name,Link,Channel,Subscribers,Videos,Category
FALSE,Sriman Kotaru,https://www.youtube.com/@srimankotaru,Sriman Kotaru,519000,1251,vlogging
FALSE,Harsha Sai - For You Telugu - Fans 2.0,https://www.youtube.com/@harshasai,Harsha Sai - For You Telugu - Fans 2.0,519000,0,vlogging
FALSE,greatandhra,https://www.youtube.com/@greatandhranews,greatandhra,474000,7177,news
TRUE,Attamma TV,https://www.youtube.com/@attamma,Attamma TV,416000,1461,cooking
FALSE,Tupaki TV,https://www.youtube.com/@tupakitv,Tupaki TV,374000,8037,entertainment_news
FALSE,VAAS Family,https://www.youtube.com/@vaasfamily,VAAS Family,372000,353,vlogging
FALSE,Siri Hanmanth,https://www.youtube.com/@realsirihanmanth,Siri Hanmanth,332000,116,entertainment
FALSE,Astam Akhil,https://www.youtube.com/@astamakhil,Astam Akhil,315000,322,europe_travel
FALSE,Bhakti,https://www.youtube.com/@bhakti,Bhakti,299000,3877,devotional
TRUE,HomeCookingTelugu,https://www.youtube.com/@homecookingtelugu,HomeCookingTelugu,240000,2053,cooking
TRUE,Aakash Malhotra,https://www.youtube.com/@wanderwithsky,Aakash Malhotra,188000,211,travel
TRUE,Suneetha vlogs,https://www.youtube.com/@suneethavlogs,Suneetha vlogs,172000,190,cooking
FALSE,ENGILIPISU,https://www.youtube.com/@engilipisu,ENGILIPISU,159000,17,roasting
FALSE,Telugu NRI Programs,https://www.youtube.com/@idreamnri,Telugu NRI Programs,127000,2066,nri
TRUE,Raaji vlogs from japan,https://www.youtube.com/@raajivlogsfromjapan,Raaji vlogs from japan,60700,412,nri
TRUE,Singapore Telugu Vlogs,https://www.youtube.com/@singaporeteluguvlogs,Singapore Telugu Vlogs,55700,90,nri
TRUE,Geethu's World,https://www.youtube.com/@geethusworld9,Geethu's World,46800,187,lifestyle
TRUE,Ramya Raghav,https://www.youtube.com/@ramyaraghav,Ramya Raghav,38400,180,europe_travel
TRUE,Sagar Telugu Traveller,https://www.youtube.com/@sagartelugutraveller,Sagar Telugu Traveller,28700,221,europe_travel
FALSE,Nani Prabhakar,https://www.youtube.com/@naniprabhakar,Nani Prabhakar,17900,39,vlogging
TRUE,Canada Telugu Vlogs,https://www.youtube.com/@canadateluguvlogs,Canada Telugu Vlogs,12800,29,nri
TRUE,EuroTraveller,https://www.youtube.com/@eurotraveller,EuroTraveller,9970,84,travel
FALSE,Crazy Foodies,https://www.youtube.com/@crazyfoodies,Crazy Foodies,6910,91,street_food
TRUE,Ireland Chowrasta 🇮🇪,https://www.youtube.com/@irelandchowrasta,Ireland Chowrasta 🇮🇪,6000,165,europe_travel
FALSE,Geethu Collections & Telugu Vlogs In Germany,https://www.youtube.com/@geethucollectionsteluguvlo982,Geethu Collections & Telugu Vlogs In Germany,5210,133,europe_travel
FALSE,Hima Sudheer Tales,https://www.youtube.com/@himasudheertales,Hima Sudheer Tales,4470,61,nri
FALSE,Manasa Travel Cafe,https://www.youtube.com/@manasatravelcafe,Manasa Travel Cafe,3510,114,europe_travel
FALSE,Ranjit in Europe,https://www.youtube.com/@ranjitineurope,Ranjit in Europe,2880,27,europe_travel
FALSE,Alekhya Harika,https://www.youtube.com/@alekhyaharika,Alekhya Harika,2160,2,vlogging
FALSE,Telugu European Vlogs,https://www.youtube.com/@telugueuropeanvlogs,Telugu European Vlogs,1150,67,europe_travel
TRUE,Gayathri’s Kitchen,https://www.youtube.com/@gayathriskitchen,Gayathri’s Kitchen,1120,204,cooking
FALSE,FunBucket,https://www.youtube.com/@funbucket,FunBucket,576,6,entertainment
FALSE,Hello Hoyna -Telugu vlogs from Australia,https://www.youtube.com/@australiateluguvlogs,Hello Hoyna -Telugu vlogs from Australia,421,28,nri
TRUE,Telugu Vlogs In Denmark,https://www.youtube.com/@teluguvlogsindenmark,Telugu Vlogs In Denmark,339,100,travel
TRUE,Germany lo Telugu ammai,https://www.youtube.com/@germanyloteluguammai,Germany lo Telugu ammai,253,142,nri
FALSE,@Vijayalife,https://www.youtube.com/@vijayalifestyle,@Vijayalife,235,45,cooking
FALSE,Travel with balu,https://www.youtube.com/@travelwiththota,Travel with balu,144,3,europe_travel
FALSE,Palle vantalu,https://www.youtube.com/@pallevantalu,Palle vantalu,131,76,cooking
FALSE,Vikramaditya Bagri,https://www.youtube.com/@vikramaditya,Vikramaditya Bagri,110,14,knowledge
FALSE,Vithika Sheru,https://www.youtube.com/@vithikasheru,Vithika Sheru,100,0,vlogging
FALSE,Yaswanth,https://www.youtube.com/@telugutechtuts,Yaswanth,58,0,tech
FALSE,Italy lo Telugu Abbai,https://www.youtube.com/@italyloteluguabbai,Italy lo Telugu Abbai,42,3,europe_travel
FALSE,Sravani's Kitchen,https://www.youtube.com/@sravanikitchen,Sravani's Kitchen,11,4,cooking
FALSE,Poland Telugu Vlogs,https://www.youtube.com/@polandteluguvlogs,Poland Telugu Vlogs,8,1,europe_travel
FALSE,runwayreels,https://www.youtube.com/@runwayreels,runwayreels,4,2,short_films
FALSE,Infinitum. Media,https://www.youtube.com/@infinitummedia,Infinitum. Media,4,1,entertainment
FALSE,Dubai Telugu vlogs,https://www.youtube.com/@dubaiteluguvlogs,Dubai Telugu vlogs,3,2,nri
FALSE,ruchulu,https://www.youtube.com/@ruchulu,ruchulu,2,0,cooking
FALSE,Niharika Konidela,https://www.youtube.com/@niharikakonidela,Niharika Konidela,1,0,vlogging
FALSE,girlformula🐣,https://www.youtube.com/@girlformula,girlformula🐣,0,4,entertainment
FALSE,usaraja,https://www.youtube.com/@usaraja,usaraja,0,1,nri
FALSE,Laddu Bujji,https://www.youtube.com/@laddubujji,Laddu Bujji,0,0,couple_vlogs
FALSE,pavan Chinnu,https://www.youtube.com/@explorewithpavan,pavan Chinnu,0,0,travel
FALSE,tejagouda,https://www.youtube.com/@tejagouda,tejagouda,0,0,travel_cinematic
FALSE,Sweden_TeluguVlogs,https://www.youtube.com/@swedenteluguvlogs,Sweden_TeluguVlogs,0,0,europe_travel
FALSE,Vangaveeti,https://www.youtube.com/@vangaveeti,Vangaveeti,0,0,vlogging
FALSE,America Kaburlu,https://www.youtube.com/@americakaburlu,America Kaburlu,0,0,nri
TRUE,Your Food Lab,https://www.youtube.com/@YourFoodLab,Your Food Lab,,,cooking
TRUE,Mucherla aruna,https://www.youtube.com/@mucherlaaruna28,Mucherla aruna,,,vlogging
TRUE,Sallys Welt,https://www.youtube.com/@SallysWelt,Sallys Welt,,,vlogging
TRUE,Allrecipes,https://www.youtube.com/@allrecipes,Allrecipes,,,cooking
TRUE,Eater at Home,https://www.youtube.com/@EaterAtHome,Eater at Home,,,cooking
TRUE,chefharpalsingh,https://www.youtube.com/@chefharpalsingh,chefharpalsingh,,,cooking
TRUE,Joy of Baking,https://www.youtube.com/@joyofbaking,Joy of Baking,,,cooking
TRUE,Manjula's Kitchen,https://www.youtube.com/@manjulaskitchen,Manjula's Kitchen,,,cooking
TRUE,FoodFood,https://www.youtube.com/@foodfoodindia,FoodFood,,,cooking
TRUE,Ian Fujimoto,https://www.youtube.com/@IanKyo,Ian Fujimoto,,,cooking
TRUE,Rainbow Plant Life,https://www.youtube.com/@RainbowPlantLife,Rainbow Plant Life,,,cooking
TRUE,Via Li,https://www.youtube.com/@via.ilyouu,Via Li,,,cooking
TRUE,soosonal,https://www.youtube.com/@soosonall,soosonal,,,vlogging
TRUE,Hermann,https://www.youtube.com/@BakingHermann,Hermann,,,cooking
TRUE,AuberginenLiebe,https://www.youtube.com/@AuberginenLiebe-o1s,AuberginenLiebe,,,cooking
TRUE,Home Gupshup,https://www.youtube.com/@homegupshup,Home Gupshup,,,cooking
